xxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxx || x || xxxxxxxxxxxxxxxx
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
0fffffffffffffff 0000000000000001 || 0 || 1000000000000000
